apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature
com.BathroomDesign,3,0,0,0,0,1,4,2,2,2,0
com.camineo.exploralite,11,1,0,0,1,2,3,5,11,7,3
com.burin.orkdn8E1EA9D1DF55CD83CDE8947A74BA77AD0C790F73,16,1,9,21,11,32,0,13,33,10,0
appinventor.ai_finezall1.Warmups,4,0,0,0,0,1,30,8,3,3,0
com.alo.ui,7,0,5,11,0,18,0,4,17,1,0
com.affiliatebootcamp,1,0,0,0,0,1,0,1,7,1,0
com.danez,6,0,1,1,0,3,5,7,6,4,3
com.BeatifulHijabWeddingDres.myapp,3,0,0,0,0,1,8,2,2,2,0
com.cnhf.laso,2,0,3,1,0,15,0,0,30,0,0
com.androidemu,11,0,0,1,0,3,0,2,14,0,0
com.felix.trumpetcall,1,0,0,0,0,1,0,0,2,0,0
com.example.adultvictoria,13,0,14,10,2,16,2,12,30,13,0
com.androiderapps,7,1,3,2,0,5,7,5,5,3,0
com.camaieu.btc,1,0,0,0,0,1,1,1,2,0,0
appinventor.ai_xerror10.QRScan,3,0,0,0,0,1,26,7,7,4,0
com.hwed.faxieqsfnh,5,1,2,3,0,3,0,3,9,0,0
com.bladeandfeather,1,0,0,0,0,1,7,2,6,1,0
com.TipsMengobatiSakitKepala.rondiahndroid,3,0,0,0,0,1,8,2,2,2,0
com.keone.demo,18,8,1,10,0,6,0,0,20,0,0
com.ktls.fileinfo726F80FD12B1882797ABDAFE29824D7060B5A699,18,0,8,6,0,18,0,2,17,0,0
apps.infinite.heytunnelechosound,6,0,0,0,0,1,15,4,2,2,0
com.gucdxj.cuiymapp.whyy,8,0,0,1,0,1,3,7,11,4,0
com.ZXHSBapp.raokouL,6,0,1,2,0,2,0,2,8,0,0
com.enttt.errrr,4,0,0,0,0,1,8,3,2,2,0
com.alarmphone.protectmyphonealarm,2,0,0,1,0,1,5,3,4,4,0
com.laguSEVENTEENMp3Lengkap.hadidroid,3,0,0,0,0,1,8,2,2,2,0
com.agus.deuts,3,0,0,0,0,1,4,2,3,2,0
com.devuni.flashlight8E17D18390016925DC75E933F2BEE657897F70D0,6,0,3,4,1,6,5,5,14,7,3
com.akshay9.symbiwifilogin,4,0,1,0,1,3,9,4,3,1,0
com.bmsoft,10,0,0,0,0,1,0,2,8,1,0
appinventor.ai_Duo_Oosthuizen.ResponsibleDriver,1,0,1,0,0,3,22,8,20,9,0
cn.ddlklkflkflke.onehelper,6,1,5,7,0,12,0,2,11,0,0
com.latesteveninglongdress.sarimanapps,3,0,0,0,0,1,4,2,2,2,0
com.mini.seachchrome,1,0,0,0,0,1,0,0,4,0,0
com.justconfession.app,2,0,3,1,2,8,5,7,10,5,0
com.afrikaans.dictionary.offline,2,0,0,0,0,2,19,6,3,3,0
com.awesome,6,0,0,0,0,1,0,4,8,3,0
com.paic.dsd,34,1,1,3,0,3,0,2,18,0,0
com.ceritalucubangettentangbelajar.forernsics.online,5,0,0,0,0,1,9,4,2,2,0
com.NaatsnBayans.AbdulKhaliqMadni,8,0,0,0,0,1,15,3,2,2,0
com.SareeDrapes.asolelek,3,0,0,0,0,1,4,2,2,2,0
co.alattas.taskrecorder,15,0,4,0,0,6,8,3,7,3,0
com.VaseDesignIdeas.myapp,3,0,0,0,0,1,4,2,2,2,0
com.auybbb,17,0,5,3,2,9,4,10,44,7,0
com.chenzhouxxsesxchuin,4,0,1,1,0,2,1,6,9,3,0
com.bisapp,2,0,0,0,0,1,0,2,2,1,0
com.aitype.android.theme.pg_creepy_phone,8,0,4,2,1,9,2,7,12,5,0
com.bite.dth,4,0,1,0,0,3,0,3,6,4,0
com.crazypeak,4,1,1,1,0,10,0,6,20,3,2
air.EscapeGamesDay244,2,0,0,0,0,1,2,3,5,3,0
com.fatrthik.fattyfffx,8,0,1,1,0,2,0,3,8,1,0
com.qmtiku.categoryId_85,26,0,3,4,0,7,0,6,17,3,0
com.ishow.dgxdt46,6,0,1,1,1,3,0,7,15,7,1
cal.size.carburator,1,0,0,0,0,1,0,0,3,0,0
com.devchi,6,0,0,0,0,1,6,7,8,4,0
com.bhkapps.shouter,7,1,3,5,0,10,10,7,15,5,1
com.leung.kafai,2,0,3,2,1,24,2,9,23,8,0
com,9,0,1,4,0,3,14,3,4,2,0
checkDigit,2,0,0,0,0,1,4,2,2,2,0
com.app.just.download,4,0,1,0,0,2,4,6,5,4,0
com.bug,6,0,2,1,0,3,3,4,10,1,0
com.barcoderealty,1,0,0,0,0,1,0,0,1,0,0
com.bookdepth.quotes,9,0,0,0,0,7,15,4,2,2,0
com.ShelfDecoration.asolelek,3,0,0,0,0,1,4,2,2,2,0
com.downn,4,0,0,0,0,1,8,3,2,2,0
com.CaraMemanjangkanBuluMata.hadidroid,3,0,0,0,0,1,8,2,2,2,0
com.greetingcardshop.LG.caller.screen,17,0,2,2,0,6,2,7,26,6,1
com.apollo,1,0,0,0,0,1,1,1,2,0,0
com.appspot.feedcontents,2,0,0,1,0,2,1,2,2,2,1
com.coolmenshairstyles.Panroll,3,0,0,0,0,1,4,2,2,2,0
bubei.modfgvnb,2,0,1,1,0,2,2,1,9,0,0
com.bdidiaagfd,8,0,1,1,2,2,4,5,9,3,0
com.jiedai.loan,25,3,3,2,0,16,0,2,20,0,0
com.Kumpulanpuisi.femilyadroid,3,0,0,0,0,1,8,2,2,2,0
com.cn.sc.cd.janli.xiaobaomagic,4,0,1,1,0,4,0,1,14,1,0
com.appsdv,9,0,3,1,2,6,5,6,14,5,0
com.luhqio.haitunpay4E0D21739059B99E7A46A6E7C6C8EFE2E5B0EE08F,32,0,1,2,3,5,20,8,10,5,0
com.andromo.dev171890,5,1,0,1,0,1,4,3,3,2,1
com,3,0,3,1,0,2,17,5,4,4,0
com.mllwp.octopus,7,0,1,2,0,4,17,7,8,4,1
com.DIYNecklaceforWomen.henapps,3,0,0,0,0,1,4,2,2,2,0
com.bobisoft.wallpaper,6,0,2,2,0,4,5,7,3,3,1
com.cuteminidressdesign,3,0,0,0,0,1,4,2,2,2,0
by.a_ogurtsov.utilsbor,7,0,0,0,0,1,12,4,0,0,0
com.dreampedia.caraampuhpsikotes,3,0,0,0,0,1,5,2,2,2,0
com.bright,2,0,1,0,0,2,0,1,10,1,0
blue.sky.skyin20170608242794EC192460A15EF40428E90BA4FBBA8A69BB,5,1,0,0,0,2,5,4,7,1,0
com.burin,31,1,9,21,11,33,0,13,33,10,0
abai.kz.book,7,0,0,0,0,3,0,2,8,3,0
br.com.devmaker.rcapp,6,0,1,1,0,2,3,2,4,1,0
com.androprey.khmermusic.khmerstar,4,0,2,2,0,1,14,11,6,5,0
com.andack.ajjkepwgcroputils,8,1,2,6,0,4,0,3,18,0,0
com.clipper.trans,11,1,1,5,0,2,0,3,41,0,2
adnan,24,0,1,0,0,2,9,5,5,4,0
com.abast.homebot,5,0,0,0,0,2,14,3,4,1,0
com.abrutal.war,2,0,1,1,0,2,0,2,7,0,0
com.elfswipe54BD63B9D72FC2493E68D4866E6C58F91F2007D6,7,1,3,5,0,10,12,7,15,5,1
com.newminisevenqi.qwgq,4,0,1,1,0,2,0,3,13,0,0
com.android.liulinger,4,0,3,1,0,9,0,0,19,0,0
com.jl.sudai,11,0,0,0,0,1,7,6,4,4,0
appinventor.ai_abualfisal3599.AlruqiaAlsharaia,1,0,0,0,0,1,28,7,6,4,0
com.qmtiku.categoryId_5606B54EE7741C5CCA8920E4BE94CA290273C1DE21,26,0,3,4,0,7,0,6,17,3,0
appinventor.ai_blogdarobotica.BTarduinoController,3,0,0,0,0,1,30,8,5,3,0
com.boly.wxmultprofesor,11,0,0,1,0,1,0,1,19,0,0
com.ghongzp.util.funtorch,7,0,1,1,0,2,0,1,10,0,3
com.cyni.lyrics,2,0,0,0,0,1,8,2,2,2,0
com.eventguide.helloworld,1,0,0,0,0,1,0,0,1,0,0
com.easpped,7,1,1,5,0,1,0,3,5,0,0
com.pusat.songga,4,0,0,0,0,1,6,3,6,4,0
com.ecapycsw.qwkjrepp,2,0,1,1,0,2,0,2,10,1,0
com.Resep.OlahanTeri,3,0,0,0,0,1,9,3,2,2,0
com.cbinternational,7,0,0,0,0,6,10,3,2,2,0
appinventor.ai_sikha_ngele08.RecipeCalculator_n_StoreLocator,6,0,0,0,0,1,30,7,3,3,0
com.albumsayangvialengkap,3,0,0,0,0,1,9,3,2,2,0
com.adcfirm,5,0,0,0,2,1,9,6,7,3,0
com.daywin.secret,6,1,0,0,0,2,0,6,16,3,0
com.erlingyiliusiyuejiu.wangjunkaidongtaitupian,3,1,2,2,0,5,0,1,16,0,0
agency.messaggio.lyre,4,0,0,0,0,4,26,4,7,3,1
com.bt.wallpapers,15,0,1,2,0,11,0,2,11,2,0
com.one.FlowerCraftTutorial,3,0,0,0,0,1,4,2,2,2,0
altinkum,4,0,1,1,1,3,4,5,11,5,0
com.parsons.android.jq,5,0,2,2,0,2,0,2,11,0,0
code.alphonso.android.bookviewer.books,1,0,0,0,0,1,11,2,0,0,0
com.cvg,9,0,6,15,0,23,0,0,42,0,0
com.hp3347.rsf,7,3,1,1,0,10,16,11,13,9,2
com.a8355439035272864fa48b22a,7,0,0,0,0,1,16,7,7,5,2
com.cfinc.homee.themepack,2,0,2,1,9,5,11,7,2,2,0
com.aahl.rlsq,54,0,5,6,2,19,0,12,35,12,0
com.ezzebd.androidassistant817812E82F74739FCECF95DFCE9FA126F83A9674,12,0,8,9,0,11,4,9,27,15,0
com.afar.ajianbrajamusti,3,0,0,0,0,1,9,3,2,2,0
appinventor.ai_violentvioletproductions.TABARNAC,1,0,0,0,0,1,28,7,4,4,0
