,apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature,malware
4592,com.newminisixliutw.BlowApp,14,0,5,6,0,9,9,6,22,7,0,True
4593,com.konetosapp.mobile,1,0,0,0,0,1,0,1,7,1,0,True
4594,com.db,1,0,0,0,0,1,1,1,2,0,0,False
4595,appinventor.ai_cristianovagos,1,0,0,0,1,1,28,7,4,4,0,False
4596,com.dxjxrr.Unitconversion,21,0,0,4,0,1,0,6,11,3,0,True
4597,com.onexuan.coolify.flat,4,0,1,1,0,2,8,6,9,2,0,True
4598,com.gr0andm.sh00ta,9,1,17,19,0,26,0,1,44,0,0,True
4599,com.burin.orkdn5C8E8EE515B1765C944E10AB1BEA69E0029A1394,31,1,9,21,11,33,0,13,33,10,0,True
4600,com.dbskenya,1,0,0,0,0,1,0,0,6,0,0,False
4601,appinventor.ai_namsang.Bcarlock,2,0,0,0,0,1,30,7,5,3,0,True
4602,com.cbs.sportsapp.android,5,0,2,2,2,5,4,6,16,7,0,False
4603,com.android.erqiwu9F2D494336EDECAB3A3666D9AE50B7E5DA043EAD,4,0,3,1,0,9,0,0,19,0,0,True
4604,com.android.gucdxj,8,0,1,1,0,3,0,6,11,6,0,False
4605,com.ooedzzzdb.brmg.izhx,9,0,3,6,0,28,0,0,17,0,0,True
4606,com.mofanadren.spincube4F1656E8E39A1979B37EE24AA6152C436FB06935,3,0,1,1,0,2,0,1,15,0,0,True
4607,ast.jump,1,0,0,1,0,1,4,6,13,4,0,False
4608,com.mayijieqian.daikuan,7,1,1,5,0,2,0,2,12,0,0,True
4609,com.lzkh.gfug.ispt,4,0,2,2,0,8,3,6,14,4,0,True
4610,com.af_wizzard,3,0,0,0,0,1,9,4,4,3,0,False
4611,com.coknethaber,1,0,0,0,0,1,11,2,1,0,0,False
4612,com.katakatasindirankecebanget.Rayadeveloper,3,0,0,0,0,1,8,2,2,2,0,True
4613,adkar,3,0,0,0,0,1,12,3,3,3,0,False
4614,com.putih.risalahhaidfiqihwanita,3,0,0,0,0,1,5,2,2,2,0,True
4615,appinventor.ai_hostipar.RadioFavorita,1,0,0,0,1,1,28,7,4,4,0,True
4616,com.bravo,5,0,0,1,0,2,18,7,6,5,0,False
4617,com.arsakhacomunity,2,0,0,0,0,1,7,2,6,3,0,False
4618,com.cancer,1,0,0,0,0,1,0,0,7,0,0,False
4619,com.gnud.nhbo.islb,5,0,2,2,0,8,3,6,14,4,0,True
4620,com.gameloft.android.GloftGAN2_USkgjief,2,0,1,1,0,4,6,2,10,0,0,True
4621,com.badlogic,2,0,0,4,0,1,0,6,11,3,0,False
4622,com.appmk.book,6,0,0,0,0,3,0,0,7,1,0,False
4623,app.tajikusjiepai,14,0,6,6,1,2,0,4,12,4,0,True
4624,com.barakallah,3,0,0,0,0,1,9,3,2,2,0,False
4625,com.ddgame.studio.painter,1,0,0,0,0,1,10,6,7,5,0,True
4626,appinventor.ai_fsfinalz,2,0,0,0,0,1,30,7,6,3,0,False
4627,appinventor.ai_kimsalangkim,1,0,0,0,0,1,30,7,3,3,0,False
4628,com.ibasso.volume,2,0,0,1,0,3,2,6,6,2,1,True
4629,ajffnj.mlomjf.opbleg.jnpgoi.gankgo.mghjla,7,0,3,3,3,9,3,11,31,10,0,True
4630,com.macropinch.hydra.spfhwDAEB95C6840F110D3FFC253C6D56248256669B1E,2,0,0,5,0,2,0,6,15,3,4,True
4631,com.gpn.wlbcyj,9,0,6,14,0,23,0,0,42,0,0,True
4632,com.mysql.you,9,0,0,0,0,1,2,6,6,2,0,True
4633,com.example.adultvictoriaE08C62C6A7C54C0EF360482BC12CF088EDCADC5F,2,0,4,3,1,11,0,7,36,6,0,True
4634,com.jisu.tupianliu.lrl,38,6,7,14,8,25,1,8,21,13,0,True
4635,com.ZXHSBapp.zhuangxiu,10,0,0,2,0,1,0,2,11,0,0,True
4636,app.xmp,1,0,0,0,0,1,0,1,8,1,0,False
4637,com.elfswipe3EC92EBD0D484BC4574F55A45A2DB8B0B07D3DC6,7,1,3,5,0,10,12,7,15,5,1,True
4638,com.liujian.muniaowo,14,0,4,6,0,18,13,10,51,10,2,True
4639,com.example.kid17.calculator,3,0,0,2,0,1,0,3,0,0,0,True
4640,com.app.free.studio.xperia,11,0,1,3,0,4,0,2,12,7,0,False
4641,aimoxiu.theme.mx9e83878e1621d3214d41e0e9f066002d,1,0,0,0,0,1,0,5,8,4,0,False
4642,com.gfdfgger.dddd,29,0,4,4,0,12,3,7,23,8,0,True
